Variety	TokenID	TextID	LineID	SpeakerID	Corpus	Genre	GenreCode	Register	Mode	WholeConstructionPlain	Verb	Particle	VerbPart	VerbForm	DirObjPlain	DirObjHeadPlain	Response	DirObjWordLength	DirObjLettLength	DirObjExprType	DirObjDefiniteness	DirObjGivenness	DirObjConcreteness	Semantics	DirObjThematicity	DirectionalPP	PrimeType	VerbFreq	PartFreq	VerbPartFreq	DeltaP.cueV	DeltaP.cueP	PMI	t.score	DICE	LogLikR	Surprisal.P	Surprisal.V	PartOnset	CValternation	CValternation2	CV.binary	JoinedDist	SplitDist	StressClash	Rhythm
NZ	PART4354	NZ:S1B-031:1	NZ:S1B-031:1:2	NZ:S1B-031:1:2:L	ICE	PublicDia	b	spok.formal	spoken	taking away hope	take	away	take away	taking	hope	hope	Continuous	1	4	nc	indef	given	Nonconcrete	non-compositional	1.746724891	yes	none	2164	752	19	0.008045447	0.023119343	3.545422447	3.985564296	0.01303155	59.18524475	6.83155727	5.306661338	V	CV	CV.VC	other	2	1	no	-1
NZ	PART4357	NZ:S1A-078:1	NZ:S1A-078:1:116	NZ:S1A-078:1:116:K	ICE	PrivateDia	a	spok.informal	spoken	take away the cracking	take	away	take away	take	the cracking	cracking	Continuous	2	11	nc	def	new	Nonconcrete	compositional	2.605297438	yes	Continuous	2164	752	19	0.008045447	0.023119343	3.545422447	3.985564296	0.01303155	59.18524475	6.83155727	5.306661338	V	CV	CV.VC	other	1	1	no	0
NZ	PART4358	NZ:W1B-010:3	NZ:W1B-010:3:80	NZ:W1B-010:3:80	ICE	Letters	f	writ.informal	written	took away wood	take	away	take away	took	wood	wood	Continuous	1	4	nc	indef	new	Concrete	compositional	0.966650556	no	none	2164	752	19	0.008045447	0.023119343	3.545422447	3.985564296	0.01303155	59.18524475	6.83155727	5.306661338	V	CV	CV.VC	other	1	0	no	-1
NZ	PART4359	NZ:S1A-083:1	NZ:S1A-083:1:136	NZ:S1A-083:1:136:B	ICE	PrivateDia	a	spok.informal	spoken	took away all the christianity	take	away	take away	took	all the christianity	christianity	Continuous	3	18	nc	def	new	Nonconcrete	non-compositional	2.826455625	no	none	2164	752	19	0.008045447	0.023119343	3.545422447	3.985564296	0.01303155	59.18524475	6.83155727	5.306661338	V	CV	CV.VC	other	1	0	no	-1
NZ	PART4360	NZ:W1A-019:3	NZ:W1A-019:3:91	NZ:W1A-019:3:91	ICE	StudentWrit	e	writ.informal	written	take away newly found power	take	away	take away	take	newly found power	power	Continuous	3	15	nc	indef	new	Nonconcrete	non-compositional	1.797752809	no	none	2164	752	19	0.008045447	0.023119343	3.545422447	3.985564296	0.01303155	59.18524475	6.83155727	5.306661338	V	CV	CV.VC	other	1	0	no	-1
NZ	PART4361	NZ:W2E-010:2	NZ:W2E-010:2:30	NZ:W2E-010:2:30	ICE	PersuasiveWrit	k	writ.informal	written	take away the family benefit	take	away	take away	take	the family benefit	benefit	Continuous	3	16	nc	def	given	Nonconcrete	non-compositional	3.109211038	no	none	2164	752	19	0.008045447	0.023119343	3.545422447	3.985564296	0.01303155	59.18524475	6.83155727	5.306661338	V	CV	CV.VC	other	1	1	no	0
NZ	PART4362	NZ:S1A-078:1	NZ:S1A-078:1:116	NZ:S1A-078:1:116:K	ICE	PrivateDia	a	spok.informal	spoken	took away the the can of paint	take	away	take away	took	the the can of paint	can	Continuous	5	16	nc	def	new	Concrete	compositional	6.079027356	no	Discontinuous	2164	752	19	0.008045447	0.023119343	3.545422447	3.985564296	0.01303155	59.18524475	6.83155727	5.306661338	V	CV	CV.VC	other	1	2	no	1
NZ	PART4365	NZ:W2C-003:3	NZ:W2C-003:3:59	NZ:W2C-003:3:59	ICE	Reportage	i	writ.informal	written	setting up a  think tank	set	up	set up	setting	a  think tank	tank	Continuous	3	10	nc	indef	new	Concrete	non-compositional	0.752162467	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	1	1	no	0
NZ	PART4366	NZ:S1B-036:1	NZ:S1B-036:1:80	NZ:S1B-036:1:80:V	ICE	PublicDia	b	spok.formal	spoken	set up a a very high moral ground	set	up	set up	set	a a very high moral ground	ground	Continuous	6	21	nc	indef	new	Nonconcrete	non-compositional	2.483854943	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4368	NZ:S2B-048:1	NZ:S2B-048:1:102	NZ:S2B-048:1:102:F	ICE	ScriptedMono	d	spok.formal	spoken	set up a business	set	up	set up	set	a business	business	Continuous	2	9	nc	indef	new	Nonconcrete	non-compositional	4.380201489	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4369	NZ:W2B-037:1	NZ:W2B-037:1:62	NZ:W2B-037:1:62	ICE	PopularWrit	h	writ.formal	written	set up a company	set	up	set up	set	a company	company	Continuous	2	8	nc	indef	new	Nonconcrete	non-compositional	4.321209939	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4370	NZ:S2A-059:1	NZ:S2A-059:1:107	NZ:S2A-059:1:107:G	ICE	UnscriptMono	c	spok.informal	spoken	set up a er a new group	set	up	set up	set	a er a new group	group	Continuous	5	12	nc	indef	new	Nonconcrete	non-compositional	5.090909091	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4371	NZ:W2C-012:2	NZ:W2C-012:2:45	NZ:W2C-012:2:45	ICE	Reportage	i	writ.informal	written	set up a fund	set	up	set up	set	a fund	fund	Continuous	2	5	nc	indef	new	Nonconcrete	non-compositional	0.950118765	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4372	NZ:W2B-028:1	NZ:W2B-028:1:87	NZ:W2B-028:1:87	ICE	PopularWrit	h	writ.formal	written	set up a Hazards Control Commission	set	up	set up	set	a Hazards Control Commission	Commission	Continuous	4	25	nc	indef	new	Nonconcrete	non-compositional	0.88691796	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4373	NZ:S2B-009:3	NZ:S2B-009:3:105	NZ:S2B-009:3:105:L	ICE	ScriptedMono	d	spok.formal	spoken	setting up a locally run service	set	up	set up	setting	a locally run service	service	Continuous	4	18	nc	indef	new	Nonconcrete	non-compositional	5.623242737	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	1	1	no	0
NZ	PART4375	NZ:S2A-059:1	NZ:S2A-059:1:94	NZ:S2A-059:1:94:G	ICE	UnscriptMono	c	spok.informal	spoken	set up a new user	set	up	set up	set	a new user	user	Continuous	3	8	nc	indef	given	Concrete	non-compositional	10.18181818	no	Continuous	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4377	NZ:S1B-073:1	NZ:S1B-073:1:13	NZ:S1B-073:1:13:R	ICE	PublicDia	b	spok.formal	spoken	set up a situation with role cards	set	up	set up	set	a situation with role cards	situation	Continuous	5	23	nc	indef	new	Nonconcrete	non-compositional	12.75510204	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
